transaction_id,date,product,category,region,customer_type,quantity,unit_price,discount,revenue,cost,profit,payment_method,salesperson
TX00001,2026-07-14,Gaming Mouse 8K,Electronics,North,New,2,3200,0,6400.0,3520.0,2880.0,UPI,Priya Patel
TX00002,2026-07-02,Pro Runner Shoes,Footwear,North,New,2,6500,5,12350.0,6240.0,6110.0,UPI,Neha Singh
TX00003,2026-07-17,Smart Blender 1200W,Home Appliances,North,Returning,1,6800,10,6120.0,3944.0,2176.0,UPI,Siddharth Rao
TX00004,2026-04-29,Running Jacket Pro,Clothing,North,Returning,6,4800,0,28800.0,12960.0,15840.0,UPI,Ananya Roy
TX00005,2026-04-30,Mesh Task Chair,Furniture,West,Returning,2,7500,15,12750.0,9000.0,3750.0,UPI,Vikas Verma
TX00006,2026-07-11,Air Purifier Pro,Home Appliances,East,Returning,1,16500,8,15180.0,10890.0,4290.0,Card,Priya Patel
TX00007,2026-04-01,Mechanical RGB Keyboard,Electronics,South,Returning,6,6200,0,37200.0,21576.0,15624.0,UPI,Vikas Verma
TX00008,2026-07-30,Wireless Earbuds,Electronics,East,New,2,4500,0,9000.0,5400.0,3600.0,UPI,Neha Singh
TX00009,2026-07-26,Windbreaker Hooded,Clothing,West,Returning,4,3800,10,13680.0,6992.0,6688.0,Cash,Siddharth Rao
TX00010,2026-04-10,Wireless Earbuds,Electronics,North,Returning,6,4500,0,27000.0,16200.0,10800.0,Card,Kavita Reddy
TX00011,2026-03-09,Mesh Task Chair,Furniture,North,Returning,5,7500,8,34500.0,22500.0,12000.0,UPI,Siddharth Rao
TX00012,2026-05-04,Bookshelf Wooden,Furniture,Central,New,4,8900,0,35600.0,20648.0,14952.0,UPI,Priya Patel
TX00013,2026-03-12,Portable SSD 2TB,Electronics,West,Returning,2,12500,5,23750.0,17500.0,6250.0,Card,Kavita Reddy
TX00014,2026-06-16,Mesh Task Chair,Furniture,Central,Returning,1,7500,8,6900.0,4500.0,2400.0,UPI,Vikas Verma
TX00015,2026-07-15,Formal Suit Blazer,Clothing,North,Returning,8,11500,0,92000.0,50600.0,41400.0,Card,Vikas Verma
TX00016,2026-06-09,Ergonomic Office Chair,Furniture,East,New,3,14500,10,39150.0,26970.0,12180.0,Card,Neha Singh
TX00017,2026-03-12,Air Purifier Pro,Home Appliances,West,Returning,1,16500,5,15675.0,10890.0,4785.0,Card,Priya Patel
